trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
284,False,"{'a': 0.05, 'e': 0.057020426354371746}",20,8,0.9061991852786244,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
285,False,"{'a': 0.05, 'e': 0.05645022209082803}",20,12,-30.676443030714736,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.05, 'e': 0.05588571986991975}",20,11,16.60684269403083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.05, 'e': 0.05532686267122055}",25,14,20.18955457472154,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.05, 'e': 0.05477359404450834}",20,16,10.43133990099754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.05, 'e': 0.05422585810406326}",20,11,16.76736326533388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.05, 'e': 0.05368359952302263}",20,10,18.82926660764171,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.05, 'e': 0.0531467635277924}",20,9,17.793834908299598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.05, 'e': 0.05261529589251448}",20,12,16.42285703266579,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.05, 'e': 0.05208914293358933}",30,16,28.082201882986276,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.05, 'e': 0.05156825150425344}",20,0,26.218273157723406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
295,False,"{'a': 0.05, 'e': 0.0510525689892109}",20,12,15.576831533227569,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.05, 'e': 0.050542043299318794}",20,6,26.838274663581544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.05, 'e': 0.050036622866325604}",30,15,20.507427003990653,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.05, 'e': 0.04953625663766235}",30,13,30.704626290799485,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.05, 'e': 0.04904089407128572}",25,13,22.37766905097805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.05, 'e': 0.04855048513057287}",20,12,15.226650132239426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.05, 'e': 0.04806498027926714}",35,6,38.574351894363105,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.05, 'e': 0.047584330476474465}",30,11,22.67073085214136,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.05, 'e': 0.04710848717170972}",25,5,32.148310866941884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.05, 'e': 0.04663740229999262}",25,8,9.570500992657461,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
305,False,"{'a': 0.05, 'e': 0.046171028276992696}",20,5,18.87252640729889,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.05, 'e': 0.045709317994222766}",20,6,11.3247880007692,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.05, 'e': 0.04525222481428054}",25,15,19.434201404429086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.05, 'e': 0.04479970256613774}",25,8,22.449177718202524,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.05, 'e': 0.044351705540476356}",25,8,31.16162412723769,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.05, 'e': 0.043908188485071595}",25,8,30.57319386122417,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.05, 'e': 0.04346910660022087}",20,0,35.08413890276675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.05, 'e': 0.04303441553421867}",20,3,15.76489037355067,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.05, 'e': 0.04260407137887648}",20,7,15.332835579339264,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.05, 'e': 0.04217803066508771}",30,17,16.077243998420638,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.05, 'e': 0.04175625035843684}",20,7,23.263936800307842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.05, 'e': 0.041338687854852466}",25,7,32.94979903681303,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.05, 'e': 0.040925300976303945}",20,9,20.83399357644546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.05, 'e': 0.0405160479665409}",20,6,-17.424297731405865,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
319,False,"{'a': 0.05, 'e': 0.040110887486875496}",20,8,-0.6163966969858692,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
320,False,"{'a': 0.05, 'e': 0.03970977861200674}",25,0,5.829149525773217,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
321,False,"{'a': 0.05, 'e': 0.039312680825886674}",25,18,14.750562472480908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.05, 'e': 0.038919554017627804}",25,13,25.449005986936324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.05, 'e': 0.03853035847745152}",20,0,18.784737069206088,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.05, 'e': 0.03814505489267701}",25,15,21.47228089523268,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.05, 'e': 0.03776360434375024}",20,10,17.909512841065826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.05, 'e': 0.03738596830031274}",20,8,19.454124388146735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.05, 'e': 0.03701210861730961}",25,14,23.475601243140797,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.05, 'e': 0.03664198753113651}",25,0,39.6749911766564,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
329,False,"{'a': 0.05, 'e': 0.036275567655825146}",25,10,23.50235436272478,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.05, 'e': 0.03591281197926689}",20,8,25.495303466419678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
