trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
856,False,"{'a': 0.05, 'e': 0.013626370684745804}",20,7,24.860239310434352,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.05, 'e': 0.013558238831322074}",20,6,21.671764083618744,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.05, 'e': 0.013490447637165464}",20,2,34.02324550341698,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.05, 'e': 0.013422995398979638}",20,8,22.860236675051947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
860,False,"{'a': 0.05, 'e': 0.01335588042198474}",20,12,14.487192151575547,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.05, 'e': 0.013289101019874815}",20,14,10.520417685375051,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.05, 'e': 0.01322265551477544}",25,17,18.933046683204257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,False,"{'a': 0.05, 'e': 0.013156542237201564}",20,8,21.41971938411852,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,False,"{'a': 0.05, 'e': 0.013090759526015556}",30,23,10.715132044513803,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
865,False,"{'a': 0.05, 'e': 0.013025305728385478}",20,6,31.477047103289653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.05, 'e': 0.01296017919974355}",20,14,10.781245086020334,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
867,False,"{'a': 0.05, 'e': 0.012895378303744832}",25,19,9.956147597943794,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,False,"{'a': 0.05, 'e': 0.012830901412226108}",20,16,6.62687812747755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
869,False,"{'a': 0.05, 'e': 0.012766746905164978}",30,8,39.00893619386762,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.05, 'e': 0.012702913170639154}",25,12,24.82857546970478,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,False,"{'a': 0.05, 'e': 0.012639398604785957}",25,19,13.427376456740511,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
872,False,"{'a': 0.05, 'e': 0.012576201611762027}",20,3,32.453357015352864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,False,"{'a': 0.05, 'e': 0.012513320603703217}",20,16,7.904323190569915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
874,False,"{'a': 0.05, 'e': 0.0124507540006847}",20,8,22.901470343403236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.05, 'e': 0.012388500230681276}",20,6,30.463506061176133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.05, 'e': 0.01232655772952787}",20,16,9.765698130293682,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.05, 'e': 0.012264924940880231}",20,10,19.77467841549288,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
